"","page_id","NAME","ID","ALIGN","EYE","HAIR","SEX","LGBTQ","ALIVE","APPEARANCES","MONTH_FA","YEAR_FA","UNIVERSE"
"15",1803,"Clinton Barton (Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",FALSE,"Living Characters",1394,"September",1964,"Marvel"
"16",1396,"Matthew Murdock (Earth-616)","Public Identity","Good Characters","Blue Eyes","Red Hair","Male Characters",FALSE,"Living Characters",1338,"April",1964,"Marvel"
"17",55534,"Stephen Strange (Earth-616)","Public Identity","Good Characters","Grey Eyes","Black Hair","Male Characters",FALSE,"Living Characters",1307,"July",1963,"Marvel"
"18",1978,"Mary Jane Watson (Earth-616)","No Dual Identity","Good Characters","Green Eyes","Red Hair","Female Characters",FALSE,"Living Characters",1304,"June",1965,"Marvel"
"19",1872,"John Jonah Jameson (Earth-616)","No Dual Identity","Neutral Characters","Blue Eyes","Black Hair","Male Characters",FALSE,"Living Characters",1266,"March",1963,"Marvel"
"20",35350,"Robert Drake (Earth-616)","Secret Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",1265,"September",1963,"Marvel"
"21",1557,"Henry Pym (Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",FALSE,"Living Characters",1237,"January",1962,"Marvel"
"22",65255,"Charles Xavier (Earth-616)","Public Identity","Good Characters","Blue Eyes","Bald","Male Characters",FALSE,"Deceased Characters",1233,"September",1963,"Marvel"
"23",1073,"Warren Worthington III (Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",FALSE,"Living Characters",1230,"September",1963,"Marvel"
"24",1346,"Piotr Rasputin (Earth-616)","Secret Identity","Good Characters","Blue Eyes","Black Hair","Male Characters",FALSE,"Living Characters",1162,"May",1975,"Marvel"
"25",2512,"Wanda Maximoff (Earth-616)","Public Identity","Good Characters","Green Eyes","Brown Hair","Female Characters",FALSE,"Living Characters",1161,"March",1964,"Marvel"
"26",1671,"Nicholas Fury (Earth-616)","No Dual Identity","Neutral Characters","Brown Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",1137,"May",1963,"Marvel"
"27",1976,"Janet van Dyne (Earth-616)","Public Identity","Good Characters","Blue Eyes","Auburn Hair","Female Characters",FALSE,"Living Characters",1120,"June",1963,"Marvel"
"28",65219,"Jean Grey (Earth-616)","Public Identity","Good Characters","Green Eyes","Red Hair","Female Characters",FALSE,"Deceased Characters",1107,"September",1963,"Marvel"
"29",6545,"Natalia Romanova (Earth-616)","Public Identity","Good Characters","Green Eyes","Red Hair","Female Characters",TRUE,"Living Characters",1050,"April",1964,"Marvel"
"30",2223,"Kurt Wagner (Earth-616)","Secret Identity","Good Characters","Yellow Eyes","Blue Hair","Male Characters",FALSE,"Living Characters",1047,"May",1975,"Marvel"
"31",2414,"Vision (Earth-616)","Secret Identity","Good Characters","Gold Eyes","No Hair","Male Characters",FALSE,"Living Characters",1007,"October",1968,"Marvel"
"32",8650,"May Reilly (Earth-616)","No Dual Identity","Good Characters","Blue Eyes","Grey Hair","Female Characters",FALSE,"Living Characters",1000,"August",1962,"Marvel"
"33",2527,"Katherine Pryde (Earth-616)","Secret Identity","Good Characters","Hazel Eyes","Brown Hair","Female Characters",FALSE,"Living Characters",886,"January",1980,"Marvel"
"34",1970,"Carol Danvers (Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Female Characters",FALSE,"Living Characters",881,"March",1968,"Marvel"
"35",37690,"Jennifer Walters (Earth-616)","Public Identity","Good Characters","Green Eyes","Brown Hair","Female Characters",FALSE,"Living Characters",881,"February",1980,"Marvel"
"36",3765,"Emma Frost (Earth-616)","Public Identity","Neutral Characters","Blue Eyes","Brown Hair","Female Characters",FALSE,"Living Characters",880,"January",1980,"Marvel"
"37",2312,"Frank Castle (Earth-616)","Public Identity","Neutral Characters","Blue Eyes","Black Hair","Male Characters",FALSE,"Living Characters",878,"February",1974,"Marvel"
"38",1265,"Luke Cage (Earth-616)","No Dual Identity","Good Characters","Brown Eyes","Black Hair","Male Characters",FALSE,"Living Characters",856,"June",1972,"Marvel"
"39",1677,"Rogue (Anna Marie) (Earth-616)","Secret Identity","Good Characters","Green Eyes","Auburn Hair","Female Characters",FALSE,"Living Characters",850,NA,NA,"Marvel"
"40",25222,"Conan (Earth-616)","No Dual Identity","Neutral Characters","Blue Eyes","Black Hair","Male Characters",FALSE,"Living Characters",787,"October",1970,"Marvel"
"41",6537,"Joseph Robertson (Earth-616)","No Dual Identity","Good Characters","Brown Eyes","White Hair","Male Characters",FALSE,"Living Characters",752,"August",1967,"Marvel"
"42",1592,"Pietro Maximoff (Earth-616)","Public Identity","Good Characters","Blue Eyes","Silver Hair","Male Characters",FALSE,"Living Characters",740,"March",1964,"Marvel"
"43",1818,"Hercules (Earth-616)","No Dual Identity","Good Characters","Blue Eyes","Brown Hair","Male Characters",TRUE,"Living Characters",725,"October",1965,"Marvel"
"44",1448,"Victor von Doom (Earth-616)","Public Identity","Bad Characters","Brown Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",721,"July",1962,"Marvel"
"45",2081,"Max Eisenhardt (Earth-616)","Public Identity","Neutral Characters","Grey Eyes","Bald","Male Characters",FALSE,"Living Characters",709,"September",1963,"Marvel"
"46",2307,"Elizabeth Braddock (Earth-616)","Secret Identity","Neutral Characters","Blue Eyes","Purple Hair","Female Characters",TRUE,"Living Characters",708,"December",1976,"Marvel"
"47",2556,"Norrin Radd (Earth-616)","Public Identity","Good Characters","Blue Eyes","Bald","Male Characters",FALSE,"Living Characters",696,"March",1966,"Marvel"
"48",1740,"Norman Osborn (Earth-616)","Public Identity","Bad Characters","Blue Eyes","Auburn Hair","Male Characters",FALSE,"Living Characters",692,"July",1964,"Marvel"
"49",8651,"Eugene Thompson (Earth-616)","Secret Identity","Good Characters","Blue Eyes","Strawberry Blond Hair","Male Characters",FALSE,"Living Characters",689,"August",1962,"Marvel"
"50",2009,"Simon Williams (Earth-616)","Public Identity","Good Characters","Red Eyes","Grey Hair","Male Characters",FALSE,"Living Characters",686,"October",1964,"Marvel"
"51",1276,"Samuel Guthrie (Earth-616)","Secret Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",FALSE,"Living Characters",657,"November",1982,"Marvel"
"52",15823,"James Buchanan Barnes (Earth-616)","Secret Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",641,"March",1941,"Marvel"
"53",1680,"Remy LeBeau (Earth-616)","Secret Identity","Good Characters","Black Eyeballs","Brown Hair","Male Characters",FALSE,"Living Characters",636,"July",1990,"Marvel"
"54",1866,"Daniel Rand (Earth-616)","Secret Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",FALSE,"Living Characters",618,"May",1974,"Marvel"
"55",32498,"Nathan Summers (Earth-616)","Public Identity","Neutral Characters","Blue Eyes","White Hair","Male Characters",FALSE,"Living Characters",612,"January",1986,"Marvel"
"56",1772,"Elizabeth Brant (Earth-616)","No Dual Identity","Good Characters","Brown Eyes","Brown Hair","Female Characters",FALSE,"Living Characters",599,"September",1963,"Marvel"
"57",1896,"Richard Jones (Earth-616)","Secret Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",590,"May",1962,"Marvel"
"58",1496,"Edwin Jarvis (Earth-616)","No Dual Identity","Good Characters","Blue Eyes","White Hair","Male Characters",FALSE,"Living Characters",567,"November",1964,"Marvel"
"59",1802,"Alexander Summers (Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",FALSE,"Living Characters",558,"March",1969,"Marvel"
"60",1811,"Patricia Walker (Earth-616)","Secret Identity","Good Characters","Blue Eyes","Red Hair","Female Characters",FALSE,"Living Characters",550,"November",1944,"Marvel"
"61",1836,"Human Torch (Android) (Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",FALSE,"Living Characters",548,"October",1939,"Marvel"
"62",2042,"Loki Laufeyson (Earth-616)","No Dual Identity","Neutral Characters","Green Eyes","Black Hair","Genderfluid Characters",TRUE,"Living Characters",532,"August",1949,"Marvel"
"63",1643,"Franklin Nelson (Earth-616)","No Dual Identity","Good Characters","Blue Eyes","Bald","Male Characters",FALSE,"Living Characters",528,"April",1964,"Marvel"
"64",1285,"Brian Braddock (Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",FALSE,"Living Characters",528,"October",1976,"Marvel"
"65",1453,"Otto Octavius (Earth-616)","Secret Identity","Neutral Characters","Hazel Eyes","Brown Hair","Male Characters",FALSE,"Deceased Characters",526,"July",1963,"Marvel"
"66",6194,"James Rhodes (Earth-616)","Secret Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",525,"January",1979,"Marvel"
"67",1487,"Timothy Dugan (Earth-616)","Public Identity","Good Characters","Blue Eyes","Red Hair","Male Characters",FALSE,"Deceased Characters",517,"May",1963,"Marvel"
"68",1380,"Crystalia Amaquelin (Earth-616)","Public Identity","Good Characters","Green Eyes","Strawberry Blond Hair","Female Characters",FALSE,"Living Characters",512,"December",1965,"Marvel"
"69",1613,"Samuel Wilson (Earth-616)","Public Identity","Good Characters","Brown Eyes","Black Hair","Male Characters",FALSE,"Living Characters",512,"September",1969,"Marvel"
"70",1931,"Wilson Fisk (Earth-616)","Public Identity","Bad Characters","Blue Eyes","Bald","Male Characters",FALSE,"Living Characters",503,"July",1967,"Marvel"
"71",1596,"Odin Borson (Earth-616)","Public Identity","Neutral Characters","Blue Eyes","White Hair","Male Characters",FALSE,"Living Characters",502,"October",1962,"Marvel"
"72",1409,"Deadpool (Wade Wilson)","Secret Identity","Neutral Characters","Brown Eyes","Bald","Male Characters",TRUE,"Living Characters",500,"February",1991,"Marvel"
"73",1187,"Dane Whitman (Earth-616)","Secret Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",478,"December",1967,"Marvel"
"74",1741,"Harold Osborn (Earth-616)","No Dual Identity","Good Characters","Blue Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",474,"December",1965,"Marvel"
"75",68416,"Franklin Richards (Earth-616)","No Dual Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",FALSE,"Living Characters",473,"November",1968,"Marvel"
"76",2589,"Jessica Drew (Earth-616)","Secret Identity","Good Characters","Green Eyes","Auburn Hair","Female Characters",FALSE,"Living Characters",471,"February",1977,"Marvel"
"77",2626,"Roberto da Costa (Earth-616)","Secret Identity","Good Characters","Brown Eyes","Black Hair","Male Characters",FALSE,"Living Characters",464,"November",1982,"Marvel"
"78",2007,"Rahne Sinclair (Earth-616)","Secret Identity","Good Characters","Green Eyes","Red Hair","Female Characters",FALSE,"Living Characters",448,"November",1982,"Marvel"
"79",1130,"Elizabeth Ross (Earth-616)","Public Identity","Good Characters","Blue Eyes","Black Hair","Female Characters",FALSE,"Living Characters",446,"May",1962,"Marvel"
"80",2278,"Lorna Dane (Earth-616)","Secret Identity","Good Characters","Green Eyes","Green Hair","Female Characters",FALSE,"Living Characters",433,"October",1968,"Marvel"
"81",67048,"Blaine Colt (Earth-616)","Public Identity",NA,"Blue Eyes","Blond Hair","Male Characters",FALSE,"Deceased Characters",429,NA,NA,"Marvel"
"82",1705,"Johnathon Blaze (Earth-616)","Secret Identity","Good Characters","Blue Eyes","Reddish Blond Hair","Male Characters",FALSE,"Living Characters",426,"August",1972,"Marvel"
"83",2550,"Sif (Earth-616)","No Dual Identity","Good Characters","Blue Eyes","Black Hair","Female Characters",FALSE,"Living Characters",422,"March",1964,"Marvel"
"84",2365,"Red Hulk (Thaddeus Ross)","Public Identity","Neutral Characters","Blue Eyes","Black Hair","Male Characters",FALSE,"Living Characters",415,"May",1962,"Marvel"
"85",1900,"Jubilation Lee (Earth-616)","Secret Identity","Good Characters","Brown Eyes","Black Hair","Female Characters",FALSE,"Living Characters",408,"May",1989,"Marvel"
"86",2420,"Volstagg (Earth-616)","Public Identity","Good Characters","Blue Eyes","Red Hair","Male Characters",FALSE,"Living Characters",406,"August",1965,"Marvel"
"87",1127,"Balder Odinson (Earth-616)","Secret Identity","Good Characters","Blue Eyes","Brown Hair","Male Characters",FALSE,"Deceased Characters",403,"October",1962,"Marvel"
"88",1676,"Galactus (Earth-616)","Secret Identity","Neutral Characters","Brown Eyes","No Hair","Male Characters",FALSE,"Living Characters",390,"March",1966,"Marvel"
"89",1395,"Danielle Moonstar (Earth-616)","Secret Identity","Good Characters","Brown Eyes","Black Hair","Female Characters",FALSE,"Living Characters",388,"November",1982,"Marvel"
"90",2183,"Marc Spector (Earth-616)","Secret Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",387,"August",1975,"Marvel"
"91",1782,"Gwendolyne Stacy (Earth-616)","No Dual Identity","Good Characters","Blue Eyes","Blond Hair","Female Characters",FALSE,"Deceased Characters",384,"December",1965,"Marvel"
"92",2137,"Medusalith Amaquelin (Earth-616)","Public Identity","Good Characters","Green Eyes","Red Hair","Female Characters",FALSE,"Living Characters",382,"March",1965,"Marvel"
"93",2374,"Sabretooth (Victor Creed)","Secret Identity","Bad Characters","Amber Eyes","Blond Hair","Male Characters",FALSE,"Living Characters",382,"August",1977,"Marvel"
"94",2077,"Illyana Rasputina (Earth-616)","Secret Identity","Neutral Characters","Blue Eyes","Blond Hair","Female Characters",FALSE,"Living Characters",380,"May",1975,"Marvel"
"95",2344,"Johann Shmidt (Earth-616)","Public Identity","Bad Characters","Blue Eyes","Blond Hair","Male Characters",FALSE,"Deceased Characters",376,"August",1941,"Marvel"
"96",1616,"Fandral (Earth-616)","Secret Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",FALSE,"Deceased Characters",375,"August",1965,"Marvel"
"97",1131,"Sean Cassidy (Earth-616)","Secret Identity","Neutral Characters","Green Eyes","Strawberry Blond Hair","Male Characters",FALSE,"Living Characters",374,"January",1967,"Marvel"
"98",2487,"Thomas Raymond (Earth-616)","Secret Identity","Good Characters","Blue Eyes","Black Hair","Male Characters",FALSE,"Living Characters",373,"September",1940,"Marvel"
"99",1572,"Uatu (Earth-616)","Public Identity","Good Characters","Blue Eyes","Bald","Male Characters",FALSE,"Deceased Characters",373,"April",1963,"Marvel"
"100",2239,"Richard Rider (Earth-616)","Public Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",FALSE,"Deceased Characters",373,"September",1976,"Marvel"
"101",1827,"Hogun (Earth-616)","Public Identity","Good Characters","Grey Eyes","Black Hair","Male Characters",FALSE,"Living Characters",371,"August",1965,"Marvel"
"102",55878,"Raven Darkholme (Earth-616)","Secret Identity","Bad Characters","Yellow Eyes","Red Hair","Female Characters",TRUE,"Living Characters",371,"April",1978,"Marvel"
"103",2173,"Barbara Morse (Earth-616)","Secret Identity","Good Characters","Blue Eyes","Blond Hair","Female Characters",FALSE,"Living Characters",368,"June",1971,"Marvel"
"104",1179,"Blackagar Boltagon (Earth-616)","No Dual Identity","Good Characters","Blue Eyes","Black Hair","Male Characters",FALSE,"Living Characters",366,"December",1965,"Marvel"
"105",2392,"Brunnhilde (Earth-616)","Secret Identity","Good Characters","Blue Eyes","Blond Hair","Female Characters",FALSE,"Living Characters",361,"December",1970,"Marvel"
"106",1404,"Alison Blaire (Earth-616)","Public Identity","Good Characters","Blue Eyes","Strawberry Blond Hair","Female Characters",FALSE,"Living Characters",353,"February",1980,"Marvel"
"107",18186,"Venom (Symbiote) (Earth-616)","Known to Authorities Identity","Neutral Characters","Variable Eyes","No Hair","Agender Characters",FALSE,"Living Characters",348,"May",1984,"Marvel"
"108",1586,"John Walker (Earth-616)","Secret Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",FALSE,"Living Characters",346,"November",1986,"Marvel"
"109",2440,"Greer Grant (Earth-616)","Public Identity","Good Characters","Green Eyes","Black Hair","Female Characters",FALSE,"Living Characters",342,"November",1972,"Marvel"
"110",2185,"Karla Sofen (Earth-616)","Public Identity","Neutral Characters","Blue Eyes","Blond Hair","Female Characters",FALSE,"Living Characters",340,"December",1975,"Marvel"
"111",2382,"William Baker (Earth-616)","Secret Identity","Neutral Characters","Brown Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",338,"September",1963,"Marvel"
"112",1300,"Sharon Carter (Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Female Characters",FALSE,"Living Characters",332,"March",1966,"Marvel"
"113",1180,"Felicia Hardy (Earth-616)","Public Identity","Bad Characters",NA,"Blond Hair","Female Characters",FALSE,"Living Characters",332,"July",1979,"Marvel"
"114",1901,"Cain Marko (Earth-616)","Public Identity","Neutral Characters","Blue Eyes","Red Hair","Male Characters",FALSE,"Living Characters",329,"July",1965,"Marvel"
"115",37751,"Monica Rambeau (Earth-616)","Secret Identity","Good Characters","Brown Eyes","Black Hair","Female Characters",FALSE,"Living Characters",327,NA,NA,"Marvel"
"116",20978,"Maria Hill (Earth-616)","No Dual Identity","Good Characters","Brown Eyes","Black Hair","Female Characters",FALSE,"Living Characters",325,"April",2005,"Marvel"
"117",1161,"Ben Urich (Earth-616)","No Dual Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",324,"July",1978,"Marvel"
"118",2182,"Heather Douglas (Earth-616)","Secret Identity","Good Characters","Blue Eyes","Bald","Female Characters",TRUE,"Living Characters",323,"January",1973,"Marvel"
"119",100209,"Millicent Collins (Earth-616)","Public Identity",NA,"Blue Eyes","Blond Hair","Female Characters",FALSE,"Living Characters",321,"December",1945,"Marvel"
"120",1973,"James Proudstar (Earth-616)","Secret Identity","Good Characters","Brown Eyes","Black Hair","Male Characters",FALSE,"Living Characters",320,"June",1984,"Marvel"
"121",1633,"Angelica Jones (Earth-616)","Known to Authorities Identity","Good Characters","Green Eyes","Red Hair","Female Characters",FALSE,"Living Characters",319,"May",1985,"Marvel"
"122",11857,"Edward Brock (Earth-616)","Public Identity","Neutral Characters","Black Eyes","Blond Hair","Male Characters",FALSE,"Living Characters",318,"September",1986,"Marvel"
"123",2513,"MacDonald Gargan (Earth-616)","Secret Identity","Bad Characters","Brown Eyes","Bald","Male Characters",FALSE,"Living Characters",317,"December",1964,"Marvel"
"124",2146,"Mephisto (Earth-616)","No Dual Identity","Bad Characters","White Eyes","Black Hair","Male Characters",FALSE,"Living Characters",316,"December",1968,"Marvel"
"125",7630,"Tabitha Smith (Earth-616)","Secret Identity","Good Characters","Blue Eyes","Blond Hair","Female Characters",FALSE,"Living Characters",316,"November",1985,"Marvel"
"126",2238,"Jean-Paul Beaubier (Earth-616)","Secret Identity","Good Characters","Blue Eyes","Black Hair","Male Characters",TRUE,"Living Characters",313,"April",1979,"Marvel"
"127",1706,"Daniel Ketch (Earth-616)","Secret Identity","Neutral Characters","Green Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",311,"May",1990,"Marvel"
"128",1460,"Neena Thurman (Earth-616)","Secret Identity","Good Characters","Blue Eyes","Black Hair","Female Characters",FALSE,"Living Characters",310,"March",1992,"Marvel"
"129",2010,"Wong (Earth-616)","No Dual Identity","Good Characters","Brown Eyes","Bald","Male Characters",FALSE,"Living Characters",306,"July",1963,"Marvel"
"130",2456,"Thanos (Earth-616)","No Dual Identity","Bad Characters","Red Eyes","No Hair","Male Characters",FALSE,"Living Characters",306,"February",1973,"Marvel"
"131",15282,"Shang-Chi (Earth-616)","No Dual Identity","Good Characters","Brown Eyes","Black Hair","Male Characters",FALSE,"Living Characters",296,"December",1973,"Marvel"
"132",4704,"Alicia Masters (Earth-616)","No Dual Identity","Good Characters","Brown Eyes","Strawberry Blond Hair","Female Characters",FALSE,"Living Characters",293,"November",1962,"Marvel"
"133",5708,"Robert Baldwin (Earth-616)","Secret Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",FALSE,"Living Characters",293,"September",1988,"Marvel"
"134",1902,"Vance Astrovik (Earth-616)","Public Identity","Good Characters","Hazel Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",290,"July",1975,"Marvel"
"135",6633,"Wendell Vaughn (Earth-616)","Secret Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",FALSE,"Living Characters",290,"January",1978,"Marvel"
"136",100716,"Chili Storm (Earth-616)","Public Identity",NA,"Green Eyes","Red Hair","Female Characters",TRUE,"Living Characters",284,"October",1948,"Marvel"
"137",4565,"Abner Jenkins (Earth-616)","Public Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",284,"August",1964,"Marvel"
"138",1505,"Elektra Natchios (Earth-616)","Secret Identity","Neutral Characters","Blue Eyes","Black Hair","Female Characters",FALSE,"Living Characters",280,"January",1981,"Marvel"
"139",1256,"Bullseye (Lester) (Earth-616)","Secret Identity","Bad Characters","Blue Eyes","Blond Hair","Male Characters",FALSE,"Living Characters",277,"March",1976,"Marvel"
"140",119507,"Forge (Earth-616)","Public Identity","Good Characters","Brown Eyes","Black Hair","Male Characters",FALSE,"Living Characters",276,"August",1984,"Marvel"
"141",9106,"Virginia Potts (Earth-616)","No Dual Identity","Good Characters","Green Eyes","Red Hair","Female Characters",FALSE,"Living Characters",274,"September",1963,"Marvel"
"142",2383,"Walter Langkowski (Earth-616)","Secret Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",FALSE,"Living Characters",273,"April",1979,"Marvel"
"143",1733,"Gorgon (Earth-616)","Secret Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",272,"November",1965,"Marvel"
"144",37689,"James Madrox (Earth-616)","Public Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",271,"February",1975,"Marvel"
"145",1808,"Heimdall (Earth-616)","Secret Identity","Good Characters","Grey Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",270,"October",1962,"Marvel"
"146",2558,"Theresa Cassidy (Earth-616)","Secret Identity","Good Characters","Green Eyes","Red Hair","Female Characters",FALSE,"Living Characters",267,"April",1981,"Marvel"
"147",1565,"Laura Kinney (Earth-616)","Secret Identity","Good Characters","Green Eyes","Black Hair","Female Characters",FALSE,"Living Characters",265,"February",2004,"Marvel"
"148",33447,"Arthur Douglas (Earth-616)","Secret Identity","Good Characters","Blue Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",264,"February",1973,"Marvel"
"149",2511,"Peter Parker (Ben Reilly) (Earth-616)","Secret Identity","Good Characters","Hazel Eyes","Blond Hair","Male Characters",FALSE,"Deceased Characters",263,"October",1975,"Marvel"
"150",1971,"Warlock (Technarch) (Earth-616)","Secret Identity","Good Characters","Black Eyes","No Hair","Male Characters",FALSE,"Living Characters",261,"August",1984,"Marvel"
"151",1903,"Kevin Plunder (Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",FALSE,"Living Characters",260,"March",1965,"Marvel"
"152",1445,"Leonard Samson (Earth-616)","Public Identity","Good Characters","Brown Eyes","Green Hair","Male Characters",FALSE,"Deceased Characters",260,"July",1971,"Marvel"
"153",2582,"Melissa Gold (Earth-616)","Secret Identity","Good Characters","Green Eyes","Blond Hair","Female Characters",FALSE,"Living Characters",260,"August",1979,"Marvel"
"154",2037,"Lockheed (Earth-616)","Secret Identity","Good Characters",NA,"No Hair","Male Characters",FALSE,"Living Characters",260,"February",1983,"Marvel"
"155",1935,"Mercedes Knight (Earth-616)","Public Identity","Good Characters","Brown Eyes","Black Hair","Female Characters",FALSE,"Living Characters",259,"March",1972,"Marvel"
"156",2060,"Moira Kinross (Earth-616)","No Dual Identity","Good Characters","Blue Eyes","Brown Hair","Female Characters",FALSE,"Deceased Characters",259,"December",1975,"Marvel"
"157",1915,"Karnak (Earth-616)","Secret Identity","Good Characters","Blue Eyes","Black Hair","Male Characters",FALSE,"Deceased Characters",257,"December",1965,"Marvel"
"158",2204,"Namorita Prentiss (Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Female Characters",FALSE,"Deceased Characters",257,"June",1972,"Marvel"
"159",2038,"Lockjaw (Earth-616)","Secret Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",255,"December",1965,"Marvel"
"160",1029,"Adam Warlock (Earth-616)","No Dual Identity","Good Characters","White Eyes","Gold Hair","Male Characters",FALSE,"Living Characters",252,"September",1967,"Marvel"
"161",2407,"Heather McNeil (Earth-616)","Public Identity","Neutral Characters","Green Eyes","Red Hair","Female Characters",FALSE,"Living Characters",252,"November",1980,"Marvel"
"162",2034,"Curtis Connors (Earth-616)","Public Identity","Neutral Characters","Red Eyes","No Hair","Male Characters",FALSE,"Living Characters",250,"November",1963,"Marvel"
"163",2097,"Theodore Sallis (Earth-616)","Secret Identity","Good Characters","Red Eyes","No Hair","Male Characters",FALSE,"Living Characters",249,"May",1971,"Marvel"
"164",2421,"Adrian Toomes (Earth-616)","Public Identity","Bad Characters","Hazel Eyes","Bald","Male Characters",FALSE,"Living Characters",248,"May",1963,"Marvel"
"165",1514,"Amora (Earth-616)","Public Identity","Bad Characters","Green Eyes","Blond Hair","Female Characters",FALSE,"Living Characters",247,"April",1964,"Marvel"
"166",1335,"Clea (Earth-616)","No Dual Identity","Good Characters","Blue Eyes","White Hair","Female Characters",FALSE,"Living Characters",247,"November",1964,"Marvel"
